releve_id,releve_type,habitat_id,date,location
2977528,922,544,2023-07-27T15:54:05+02:00,"(46.01827332260366, 7.776777880133279)"
2977529,922,3313,2023-07-27T11:56:39+02:00,"(46.02236156786246, 7.799664852567748)"
2977650,923,539,2023-07-28T17:12:46+02:00,"(46.00465676, 7.75384859)"
2977651,923,663,2023-07-28T16:03:05+02:00,"(46.00433577, 7.75242627)"
2977652,923,225,2023-07-28T14:21:05+02:00,"(45.98364308, 7.76270332)"
2977653,923,431,2023-07-28T12:03:39+02:00,"(45.97942073, 7.78208152)"
2977654,923,3322,2023-07-28T09:54:53+02:00,"(45.98414652, 7.79119076)"
2977655,923,4212,2023-07-27T18:08:48+02:00,"(46.01083636, 7.7780396)"
2977656,923,2211,2023-07-27T17:01:07+02:00,"(46.01477434, 7.77272095)"
2977657,923,544,2023-07-27T16:06:01+02:00,"(46.01830086, 7.77678399)"
2977658,923,3313,2023-07-27T11:53:16+02:00,"(46.02237074, 7.79961839)"
2977659,923,437,2023-07-27T09:34:04+02:00,"(46.01773232, 7.78889417)"
2977669,922,3322,2023-07-28T10:14:56+02:00,"(45.98422748108522, 7.791040233192198)"
2977670,922,431,2023-07-28T12:25:06+02:00,"(45.97941469204619, 7.782054321667571)"
2977671,922,225,2023-07-28T14:30:33+02:00,"(45.9836460619836, 7.762649749744253)"
2977672,922,663,2023-07-28T16:17:26+02:00,"(46.00430669439126, 7.752444616607348)"
2977803,922,539,2023-07-28T17:35:14+02:00,"(46.00473572473691, 7.75383880037124)"
2978075,922,653,2023-08-05T17:00:27+02:00,"(47.23916526848772, 7.054181051898224)"
2978076,922,652,2023-08-05T16:18:46+02:00,"(47.239583979920184, 7.054480211665045)"
2978077,922,652,2023-08-05T15:36:41+02:00,"(47.241217724199345, 7.05654732797118)"
2978078,922,241,2023-08-05T14:33:16+02:00,"(47.241502418876166, 7.057664779748747)"
2978079,922,711,2023-08-05T11:31:28+02:00,"(47.22575314302646, 7.195873279194206)"
2978080,923,653,2023-08-05T16:44:54+02:00,"(47.23921332, 7.05422547)"
2978081,923,652,2023-08-05T16:12:55+02:00,"(47.23954218, 7.05449511)"
2978082,923,652,2023-08-05T15:30:51+02:00,"(47.24119707, 7.05659285)"
2978083,923,241,2023-08-05T13:42:27+02:00,"(47.24151046, 7.05760371)"
2978084,923,711,2023-08-05T10:36:27+02:00,"(47.22571506, 7.19591676)"
2978132,922,652,2023-08-07T18:48:06+02:00,"(47.29092684315612, 9.249873465929198)"
2978133,922,514,2023-08-07T16:20:23+02:00,"(47.2503250324698, 9.290036852075135)"
2978134,922,223,2023-08-07T13:24:28+02:00,"(47.22544120019353, 9.267396066413566)"
2978135,922,114,2023-08-07T09:09:13+02:00,"(47.20161770883956, 8.853793965155646)"
2978136,923,652,2023-08-07T18:36:20+02:00,"(47.29089112673368, 9.249976453597723)"
2978137,923,514,2023-08-07T16:12:07+02:00,"(47.25031276, 9.28999756)"
2978138,923,223,2023-08-07T11:50:23+02:00,"(47.229350390157016, 9.265356704415675)"
2978139,923,114,2023-08-07T09:04:18+02:00,"(47.20137795, 8.85356259)"
2978140,923,121,2023-08-07T08:43:36+02:00,"(47.20084579, 8.85348002)"
2978197,922,3312,2023-08-08T12:53:05+02:00,"(47.253693021543825, 9.343616653136008)"
2978198,922,441,2023-08-08T14:22:59+02:00,"(47.25921796698238, 9.356939846912432)"
2978199,922,613,2023-08-08T18:44:53+02:00,"(47.2620642849352, 9.297406205333584)"
2978200,923,613,2023-08-08T18:37:04+02:00,"(47.26206893, 9.29738455)"
2978201,923,441,2023-08-08T14:15:29+02:00,"(47.25923605, 9.35694676)"
2978202,923,653,2023-08-08T09:06:08+02:00,"(47.29088156, 9.25063433)"
2978203,922,653,2023-08-08T08:32:49+02:00,"(47.29086898001286, 9.250561089270287)"
2978595,922,521,2023-08-15T18:27:18+02:00,"(47.3598622951096, 8.49447973280525)"
2978613,923,521,2023-08-15T00:00:00+02:00,"(47.3598622951096, 8.49447973280525)"
2978943,923,642,2023-08-19T13:38:49+02:00,"(47.31227625, 9.52663838)"
2978944,922,642,2023-08-19T12:04:42+02:00,"(47.312235185568866, 9.52697180312212)"
2979089,922,433,2023-08-22T16:30:16+02:00,"(46.66439823473077, 7.932702909069623)"
2979090,922,431,2023-08-22T15:28:15+02:00,"(46.66730137592213, 7.946032405014135)"
2979091,922,442,2023-08-22T10:50:01+02:00,"(46.67289379378056, 7.990398941381607)"
2979092,922,3312,2023-08-22T09:41:40+02:00,"(46.67293139135866, 7.992052803352012)"
2979093,922,441,2023-08-22T07:16:02+02:00,"(46.67308071566312, 8.004571014030713)"
2979094,922,124,2023-08-21T16:32:47+02:00,"(46.66724017051039, 8.022970402951286)"
2979095,922,132,2023-08-21T14:22:28+02:00,"(46.66231894294933, 8.042883053559786)"
2979285,923,433,2023-08-22T16:39:33+02:00,"(46.66437364235386, 7.932669102629264)"
2979286,923,431,2023-08-22T14:29:03+02:00,"(46.66726238, 7.94602761)"
2979288,923,3312,2023-08-22T10:06:32+02:00,"(46.67295717, 7.99208407)"
2979289,923,442,2023-08-22T10:49:27+02:00,"(46.67288191, 7.99040409)"
2979290,923,441,2023-08-22T06:50:10+02:00,"(46.67310901, 8.00453246)"
2979291,923,124,2023-08-21T16:24:00+02:00,"(46.66724235, 8.02298279)"
2979292,923,132,2023-08-21T14:12:04+02:00,"(46.66229404, 8.04283816)"
2979458,922,422,2023-08-29T17:27:24+02:00,"(46.6806767629384, 6.471597035459382)"
2979459,922,532,2023-08-29T17:04:31+02:00,"(46.68072109717757, 6.471648002624186)"
2979460,922,634,2023-08-29T14:58:16+02:00,"(46.66926181859219, 6.484100537339866)"
2979461,922,721,2023-08-29T12:55:48+02:00,"(46.66044409344253, 6.515345052777354)"
2979462,922,413,2023-08-29T11:54:44+02:00,"(46.66563957151765, 6.550872853800408)"
2979463,923,532,2023-08-29T16:28:19+02:00,"(46.6807215, 6.47168655)"
2979464,923,422,2023-08-29T17:37:18+02:00,"(46.68071182, 6.471591)"
2979465,923,634,2023-08-29T14:10:48+02:00,"(46.66919491, 6.48402932)"
2979466,923,721,2023-08-29T12:49:43+02:00,"(46.6604771, 6.515383)"
2979467,923,413,2023-08-29T11:10:49+02:00,"(46.66560918, 6.55100542)"
2979476,923,716,2023-08-30T16:44:59+02:00,"(46.29992996, 6.99200593)"
2979477,923,3315,2023-08-30T17:52:57+02:00,"(46.29986274, 6.9920988)"
2979478,923,431,2023-08-30T12:46:08+02:00,"(46.43573221, 6.9808383)"
2979479,923,3314,2023-08-30T11:12:08+02:00,"(46.43129127, 6.97693913)"
2979480,923,524,2023-08-30T10:01:04+02:00,"(46.43209669, 6.97718471)"
2979487,922,3315,2023-08-30T17:54:27+02:00,"(46.2999613702718, 6.992152607126248)"
2979488,922,716,2023-08-30T17:24:15+02:00,"(46.29992720800194, 6.991976113647648)"
2979489,922,431,2023-08-30T12:13:11+02:00,"(46.43575435963816, 6.980840567918707)"
2979490,922,3314,2023-08-30T11:23:08+02:00,"(46.43127836652755, 6.976976966108895)"
2979491,922,524,2023-08-30T10:26:55+02:00,"(46.432106265480684, 6.977205532509938)"
2979507,922,643,2023-08-31T16:56:19+02:00,"(46.29396452907754, 7.561675838793056)"
2979508,922,511,2023-08-31T13:51:41+02:00,"(46.1221666888083, 7.071892669375595)"
2979509,922,411,2023-08-31T12:16:15+02:00,"(46.1256071192453, 7.082261577074627)"
2979510,922,4211,2023-08-31T10:33:59+02:00,"(46.12545513569137, 7.082843085755379)"
2979511,922,461,2023-08-31T07:50:08+02:00,"(46.10729012872193, 7.072714918809405)"
2979512,923,411,2023-08-31T11:40:42+02:00,"(46.12559455, 7.08224206)"
2979513,923,643,2023-08-31T16:53:21+02:00,"(46.29396192, 7.56166253)"
2979514,923,511,2023-08-31T13:45:01+02:00,"(46.12219434, 7.07192939)"
2979515,923,4211,2023-08-31T10:33:22+02:00,"(46.12545842, 7.08276752)"
2979516,923,461,2023-08-31T08:32:40+02:00,"(46.10726797, 7.0727322)"
