# Growth form by plant species, assigned by family where possible, or manually.
"sp_name","growth_form"
"Oreopteris limbosperma (All.) Holub","Fern"
"Ostrya carpinifolia Scop.","Woody"
"Oxalis acetosella L.","Forb"
"Oxyria digyna (L.) Hill","Forb"
"Parietaria judaica L.","Forb"
"Paris quadrifolia L.","Forb"
"Parnassia palustris L.","Forb"
"Pedicularis verticillata L.","Forb"
"Petrorhagia saxifraga (L.) Link","Forb"
"Peucedanum ostruthium (L.) W. D. J. Koch","Forb"
"Phleum alpinum L.","Graminoid"
"Phleum hirsutum Honck.","Graminoid"
"Phleum phleoides (L.) H. Karst.","Graminoid"
"Phleum pratense L.","Graminoid"
"Phleum rhaeticum (Humphries) Rauschert","Graminoid"
"Phragmites australis (Cav.) Steud.","Graminoid"
"Phyteuma betonicifolium Vill.","Forb"
"Phyteuma globulariifolium Sternb. & Hoppe subsp. globulariifolium","Forb"
"Phyteuma hemisphaericum L.","Forb"
"Phyteuma spicatum L.","Forb"
"Phyteuma spicatum L. subsp. spicatum","Forb"
"Picea abies (L.) H. Karst.","Woody"
"Pinus cembra L.","Woody"
"Pinus mugo subsp. uncinata (DC.) Domin","Woody"
"Pinus sylvestris L.","Woody"
"Plantago alpina L.","Forb"
"Plantago atrata Hoppe","Forb"
"Plantago lanceolata L.","Forb"
"Plantago major L. subsp. major","Forb"
"Poa alpina L.","Graminoid"
"Poa annua L.","Graminoid"
"Poa supina Schrad.","Graminoid"
"Poa trivialis L.","Graminoid"
"Polygala vulgaris L.","Forb"
"Polygonatum multiflorum (L.) All.","Forb"
"Polygonatum verticillatum (L.) All.","Forb"
"Polygonum bistorta L.","Forb"
"Polygonum viviparum L.","Forb"
"Polystichum lonchitis (L.) Roth","Fern"
"Potamogeton natans L.","Aquatic"
"Potentilla argentea L.","Forb"
"Potentilla caulescens L.","Forb"
"Potentilla erecta (L.) Raeusch.","Forb"
"Potentilla palustris (L.) Scop.","Forb"
"Prenanthes purpurea L.","Forb"
"Primula auricula L.","Forb"
"Primula farinosa L.","Forb"
"Primula hirsuta All.","Forb"
"Pritzelago alpina (L.) Kuntze subsp. alpina","Forb"
"Prunella grandiflora (L.) Scholler","Forb"
"Prunella vulgaris L.","Forb"
"Prunus spinosa L.","Woody"
"Pseudolysimachion spicatum (L.) Opiz","Forb"
"Pseudorchis albida (L.) Á. Löve & D. Löve","Forb"
"Pteridium aquilinum (L.) Kuhn","Fern"
"Pulsatilla alpina (L.) Delarbre","Forb"
"Pyrola minor L.","Forb"
"Quercus pubescens Willd.","Woody"
"Quercus robur L.","Woody"
"Ranunculus aconitifolius L.","Forb"
"Ranunculus acris L.","Forb"
"Ranunculus acris subsp. friesianus (Jord.) Syme","Forb"
"Ranunculus bulbosus L.","Forb"
"Ranunculus glacialis L.","Forb"
"Ranunculus lanuginosus L.","Forb"
"Ranunculus platanifolius L.","Forb"
"Ranunculus repens L.","Forb"
"Ranunculus trichophyllus Chaix","Aquatic"
"Ranunculus trichophyllus Chaix subsp. trichophyllus","Aquatic"
"Ranunculus tuberosus Lapeyr.","Forb"
"Reseda lutea L.","Forb"
"Rhinanthus alectorolophus (Scop.) Pollich","Forb"
"Rhinanthus angustifolius C. C. Gmel.","Forb"
"Rhinanthus glacialis Personnat","Forb"
"Rhinanthus minor L.","Forb"
"Rhododendron ferrugineum L.","Woody"
"Robinia pseudoacacia L.","Woody"
"Rosa canina L.","Woody"
"Rubus armeniacus Focke","Forb"
"Rubus caesius L.","Woody"
"Rubus fruticosus aggr.","Forb"
"Rubus idaeus L.","Woody"
"Rumex alpinus L.","Forb"
"Rumex crispus L.","Forb"
"Rumex nivalis Hegetschw.","Forb"
"Rumex obtusifolius L.","Forb"
"Rumex scutatus L.","Forb"
"Ruscus aculeatus L.","Woody"
"Salix appendiculata Vill.","Woody"
"Salix daphnoides Vill.","Woody"
"Salix elaeagnos Scop.","Woody"
"Salix foetida DC.","Woody"
"Salix herbacea L.","Woody"
"Salix repens L.","Woody"
"Salix retusa L.","Woody"
"Salix triandra L.","Woody"
"Salix viminalis L.","Woody"
"Salvia pratensis L.","Forb"
"Sanguisorba minor Scop.","Forb"
"Saponaria officinalis L.","Forb"
"Saxifraga aizoides L.","Forb"
"Saxifraga caesia L.","Forb"
"Saxifraga granulata L.","Forb"
"Saxifraga paniculata Mill.","Forb"
"Saxifraga rotundifolia L.","Forb"
"Saxifraga stellaris L.","Forb"
"Scabiosa lucida Vill.","Forb"
"Scabiosa triandra L.","Forb"
"Schoenus nigricans L.","Graminoid"
"Scirpus sylvaticus L.","Graminoid"
"Scorzonera austriaca Willd.","Forb"
"Scrophularia nodosa L.","Forb"
"Scutellaria galericulata L.","Forb"
"Sedum album L.","Forb"
"Sedum dasyphyllum L.","Forb"
"Sedum montanum Songeon & E. P. Perrier","Forb"
"Sedum telephium L.","Forb"
"Selaginella selaginoides (L.) Schrank & Mart.","Fern"
"Sempervivum arachnoideum L.","Forb"
"Sempervivum arachnoideum L. subsp. arachnoideum","Forb"
"Sempervivum tectorum L.","Forb"
"Senecio alpinus (L.) Scop.","Forb"
"Senecio incanus L. subsp. incanus","Forb"
"Senecio ovatus (G. Gaertn. & al.) Willd.","Forb"
"Serratula tinctoria L.","Forb"
"Sesleria caerulea (L.) Ard.","Graminoid"
"Setaria verticillata (L.) P. Beauv.","Graminoid"
"Setaria viridis (L.) P. Beauv.","Graminoid"
"Silene acaulis (L.) Jacq.","Forb"
"Silene dioica (L.) Clairv.","Forb"
"Silene exscapa All.","Forb"
"Silene flos-cuculi (L.) Clairv.","Forb"
"Silene nutans L.","Forb"
"Silene nutans L. subsp. nutans","Forb"
"Silene vulgaris (Moench) Garcke subsp. vulgaris","Forb"
"Silene vulgaris subsp. glareosa (Jord.) Marsden-Jones & Turrill","Forb"
"Silene vulgaris subsp. prostrata (Gaudin) Schinz & Thell.","Forb"
"Solanum dulcamara L.","Forb"
"Solidago virgaurea subsp. minuta (L.) Arcang.","Forb"
"Sonchus asper Hill","Forb"
"Sorbus aria (L.) Crantz","Woody"
"Sorbus aucuparia L.","Woody"
"Sparganium erectum L.","Graminoid"
"Stachys officinalis (L.) Trevis.","Forb"
"Stachys recta L.","Forb"
"Stachys sylvatica L.","Forb"
"Stellaria nemorum L.","Forb"
"Stellaria nemorum L. subsp. nemorum","Forb"
"Stipa capillata L.","Graminoid"
"Stipa pennata L.","Graminoid"
"Succisa pratensis Moench","Forb"
"Taraxacum alpinum aggr.","Forb"
"Taraxacum officinale aggr.","Forb"
"Teucrium chamaedrys L.","Woody"
"Teucrium montanum L.","Woody"
"Teucrium scorodonia L.","Forb"
"Thalictrum aquilegiifolium L.","Forb"
"Thelypteris palustris Schott","Fern"
"Thesium alpinum L.","Forb"
"Thlaspi rotundifolium (L.) Gaudin subsp. rotundifolium","Forb"
"Thymus praecox subsp. polytrichus (Borbás) Jalas","Forb"
"Thymus pulegioides L. subsp. pulegioides","Forb"
"Tilia cordata Mill.","Woody"
"Tilia platyphyllos Scop. subsp. platyphyllos","Woody"
"Tofieldia calyculata (L.) Wahlenb.","Forb"
"Trachycarpus fortunei (Hook.) H. Wendl.","Woody"
"Trichophorum cespitosum (L.) Hartm.","Graminoid"
"Trifolium alpinum L.","Forb"
"Trifolium arvense L.","Forb"
"Trifolium badium Schreb.","Forb"
"Trifolium dubium Sibth.","Forb"
"Trifolium montanum L.","Forb"
"Trifolium pallescens Schreb.","Forb"
"Trifolium pratense L.","Forb"
"Trifolium pratense L. subsp. pratense","Forb"
"Trifolium repens L.","Forb"
"Trifolium rubens L.","Forb"
"Trifolium thalii Vill.","Forb"
"Trisetum flavescens (L.) P. Beauv.","Graminoid"
"Trisetum spicatum (L.) K. Richt.","Graminoid"
"Trollius europaeus L.","Forb"
"Typha latifolia L.","Graminoid"
"Ulmus glabra Huds.","Woody"
"Urtica dioica L.","Forb"
"Vaccinium myrtillus L.","Woody"
"Vaccinium oxycoccos L.","Woody"
"Vaccinium uliginosum L.","Woody"
"Vaccinium vitis-idaea L.","Woody"
"Valeriana dioica L.","Forb"
"Valeriana montana L.","Forb"
"Valeriana officinalis L.","Forb"
"Valeriana tripteris L.","Forb"
"Verbena officinalis L.","Forb"
"Veronica alpina L.","Forb"
"Veronica arvensis L.","Forb"
"Veronica chamaedrys L.","Forb"
"Veronica filiformis Sm.","Forb"
"Veronica persica Poir.","Forb"
"Veronica serpyllifolia L.","Forb"
"Veronica serpyllifolia subsp. humifusa (Dicks.) Syme","Forb"
"Viburnum lantana L.","Woody"
"Viburnum opulus L.","Woody"
"Vicia sepium L.","Forb"
"Vicia sylvatica L.","Forb"
"Vinca minor L.","Woody"
"Vincetoxicum hirundinaria Medik.","Forb"
"Viola biflora L.","Forb"
"Viola odorata L.","Forb"
"Viola palustris L.","Forb"
"Viola reichenbachiana Boreau","Forb"
